Nombres,Apellidos,Género,Edad,Estatura,Peso,Documento,Teléfono,Correo,EPS,Status,Id_plan
Miguel,Gomez,masculino,29,1.71,64,6365262599,,,,pendiente,4
Jose,Torres,masculino,31,1.71,65,6265412333,3222658958,,,pendiente,5
Jejronimo,Rodriguez,masculino,36,1.73,62,9858452451,3999541245,,,pendiente,5
Gustavo,Moreno,masculino,55,1.78,68,3336524444,,,,pendiente,3
Osbaldo,Colmenares,masculino,33,1.72,62,1025448999,,,,pendiente,2
Pablo,Ortega,masculino,26,1.72,62,1022222245,,,,pendiente,3
Samuel,Garcia,masculino,25,1.73,63,2655454845,3652333335,,,pendiente,8
Emmanuel,Rincon,masculino,28,1.77,63,5555623648,,,,pendiente,4
Tavo,Gonzales,masculino,33,1.72,62,5669587745,,,,pendiente,4
Sandro,Gomez,masculino,39,1.73,51,4562515862,,,,pendiente,4
Ali,Rios,masculino,37,1.78,66,1023201201,,,,pendiente,4
Willy,Ortiz,masculino,33,1.72,64,1010101025,,,,pendiente,4
Charlie,Sierra,masculino,22,1.73,65,1251251251,,,,pendiente,3
Anxo,Crus,masculino,38,1.69,59,1259515963,,,,pendiente,3
Diana,Castro,femenino,40,1.68,55,1478564751,,,,pendiente,3
Sara,Molina,femenino,55,1.67,56,1548624856,,,,pendiente,4
Ximena,Gonzales,femenino,22,1.72,64,6359642544,,,,pendiente,3
Evandra,Garcia,femenino,34,1.63,68,2362514854,,,,pendiente,4
Celeste,Orozco,femenino,29,1.67,64,2554535656,3256333014,,,pendiente,4
Dariana,Agudelo,femenino,28,1.68,65,6254125485,3320201010,,,pendiente,4
Esperanza,Gomez,femenino,26,1.67,53,3333332514,3984152059,,,pendiente,3
Julio,Escobar,masculino,33,1.78,55,1251552222,3332901409,,,pendiente,3
Lisipe,Ortiz,femenino,60,1.68,56,2254154444,,,,pendiente,3
Yan,Beltran,masculino,22,1.71,65,1258888847,,,,pendiente,4
Mirina,Silva,femenino,33,1.71,62,2365999984,,,,pendiente,4
Ducan,Hurtado,masculino,26,1.71,62,1152222000,,,,pendiente,4
Sara,Castro,femenino,24,1.72,62,1236566666,3012487456,,,pendiente,4
